PS C:\Users\alex2\Desktop\NQU\alg112a\習題\習題10> python .\Npoly.py
p= [-0.0038678122680304346] f(p)= 0.9999999999991344
p= [-0.008560028726282446] f(p)= 0.9999999999540404
p= [-0.009054236947401706] f(p)= 0.9999999999391502
p= [-0.015621009132543245] f(p)= 0.9999999990698661
p= [-0.01943679551113737] f(p)= 0.9999999972258923
p= [-0.023827261265232408] f(p)= 0.9999999923198335
p= [-0.024114314205330323] f(p)= 0.9999999918459274
p= [-0.031384709966669436] f(p)= 0.9999999695497686
p= [-0.04032445361267319] f(p)= 0.9999998933790721
p= [-0.04760672160242204] f(p)= 0.9999997554648041
p= [-0.05057480091829164] f(p)= 0.9999996691197011
p= [-0.058729180081391816] f(p)= 0.9999993013338725
p= [-0.06453865289934245] f(p)= 0.9999988803056644
p= [-0.07074161410937808] f(p)= 0.999998228362663
p= [-0.08035958532204601] f(p)= 0.9999966488919194
p= [-0.0877327611401356] f(p)= 0.9999948023265757
p= [-0.09027797659997401] f(p)= 0.9999940033447283
p= [-0.09666112082265832] f(p)= 0.9999915616189424
p= [-0.10005456098275052] f(p)= 0.9999899726897233
p= [-0.10865545341064968] f(p)= 0.9999848554057581
p= [-0.11472240744645948] f(p)= 0.9999801280145558
p= [-0.12293088149378868] f(p)= 0.9999719259558201
p= [-0.12640885267916518] f(p)= 0.9999677234246925
p= [-0.12847065653923162] f(p)= 0.9999650038944449
p= [-0.13771631553977826] f(p)= 0.999950463310984
p= [-0.14377297663906627] f(p)= 0.9999385691786847
p= [-0.14803196966169196] f(p)= 0.9999289150620366
p= [-0.15711090546501014] f(p)= 0.999904273615167
p= [-0.16068231071278483] f(p)= 0.9998928874539225
p= [-0.16910211432329725] f(p)= 0.9998617245155864
p= [-0.17177672294238558] f(p)= 0.9998504378959125
p= [-0.17656651843506957] f(p)= 0.9998283903252968
p= [-0.1816638937848997] f(p)= 0.9998021467934649
p= [-0.19159482690629495] f(p)= 0.9997418222008175
p= [-0.19875963452105408] f(p)= 0.9996898006042699
p= [-0.2085676429249333] f(p)= 0.9996053295003555
p= [-0.21470016935585196] f(p)= 0.9995437930102157
p= [-0.2239928567210706] f(p)= 0.9994361405763427
p= [-0.23360155054754977] f(p)= 0.9993043695158284
p= [-0.23867452402192835] f(p)= 0.9992254841215434
p= [-0.24004751412458403] f(p)= 0.9992029490855387
p= [-0.24909370985504214] f(p)= 0.9990410106060107
p= [-0.2497294830772347] f(p)= 0.9990287096117316
p= [-0.25575391177539114] f(p)= 0.9989057629261855
p= [-0.2642115456242929] f(p)= 0.998712465252767
p= [-0.2738438285422542] f(p)= 0.9984600210316411
p= [-0.2766323402175461] f(p)= 0.99838000097291
p= [-0.2863242544598592] f(p)= 0.9980756206284834
p= [-0.2959460749133583] f(p)= 0.9977298062597603
p= [-0.2999316649094669] f(p)= 0.997572766310639
p= [-0.30325321946819983] f(p)= 0.9974353559279758
p= [-0.31179270822325306] f(p)= 0.99705334173872
p= [-0.32068863929760066] f(p)= 0.9966082965394797
p= [-0.32197228206261636] f(p)= 0.9965398698965586
p= [-0.32227773132279375] f(p)= 0.9965234259127879
p= [-0.3242253084886747] f(p)= 0.9964171010421154
p= [-0.3253248991152237] f(p)= 0.9963559316107171
p= [-0.3305259781548468] f(p)= 0.9960551726936453
p= [-0.3325369188990635] f(p)= 0.9959337006909676
p= [-0.34120544753361737] f(p)= 0.995375340296847
p= [-0.3448818456614435] f(p)= 0.9951207657370744
p= [-0.35309400790491335] f(p)= 0.9945115244015607
p= [-0.3603631743640373] f(p)= 0.9939228211270377
p= [-0.3702761956989552] f(p)= 0.9930396838706108
p= [-0.37085134883103565] f(p)= 0.9929854580851294
p= [-0.3747459657025928] f(p)= 0.9926093126446898
p= [-0.38411930531211075] f(p)= 0.9916376050752531
p= [-0.38581193806855507] f(p)= 0.9914517284690005
p= [-0.38939573076070366] f(p)= 0.9910472608988247
p= [-0.39879201379465734] f(p)= 0.9899136911427663
p= [-0.4047044398345051] f(p)= 0.9891434998085804
p= [-0.4122789652861172] f(p)= 0.9880887898485519
p= [-0.4209480818950505] f(p)= 0.9867827022161473
p= [-0.4276705574159859] f(p)= 0.9856930597498587
p= [-0.43524169128928963] f(p)= 0.9843810280054778
p= [-0.43931965765990394] f(p)= 0.9836354833418486
p= [-0.44889945975504936] f(p)= 0.9817717316422245
p= [-0.4500241912022816] f(p)= 0.981542227014252
p= [-0.4540045291162302] f(p)= 0.9807113902333164
p= [-0.45731868814272375] f(p)= 0.9799970179580149
p= [-0.457386219193402] f(p)= 0.9799822446562372
p= [-0.46246067640949307] f(p)= 0.9788468986460515
p= [-0.46663064606319876] f(p)= 0.9778758655590631
p= [-0.46795376498945934] f(p)= 0.9775604197404093
p= [-0.4767311276158564] f(p)= 0.9753754927898408
p= [-0.477157158313406] f(p)= 0.9752652675251713
p= [-0.48390315828432956] f(p)= 0.9734666379462862
p= [-0.4915258344174028] f(p)= 0.9713099208991177
p= [-0.49415471855390114] f(p)= 0.9705344376901698
p= [-0.4998572019406896] f(p)= 0.9687945989117058
p= [-0.5084120665588145] f(p)= 0.9660312749052531
p= [-0.5133794758639036] f(p)= 0.9643390826215533
p= [-0.5233206720183905] f(p)= 0.960750018888126
p= [-0.5245703157894277] f(p)= 0.9602791479282915
p= [-0.5318199005433606] f(p)= 0.9574575083436804
p= [-0.5354545925753769] f(p)= 0.9559837297790797
p= [-0.5441644834826541] f(p)= 0.9522854355075783
p= [-0.5501915504041002] f(p)= 0.9495838611373313
p= [-0.5581898407004815] f(p)= 0.9458111868215237
p= [-0.564085746872188] f(p)= 0.9428882285110147
p= [-0.5727517439174163] f(p)= 0.9383643328724293
p= [-0.5748446238050129] f(p)= 0.9372299651123143
p= [-0.5808277928906953] f(p)= 0.9338945985560749
p= [-0.5877267863014717] f(p)= 0.9298742655018816
p= [-0.5970461868511587] f(p)= 0.9241353174455209
p= [-0.5988045056883572] f(p)= 0.9230115993724471
p= [-0.6007056405323355] f(p)= 0.9217816681437202
p= [-0.6050386375678812] f(p)= 0.9189196626101208
p= [-0.6061340533764181] f(p)= 0.9181830247836287
p= [-0.6072454928809851] f(p)= 0.9174301491201233
p= [-0.6083142358991459] f(p)= 0.9167009784389935
p= [-0.6160205277055618] f(p)= 0.9112893171595041
p= [-0.6221592778776288] f(p)= 0.9067802552632737
p= [-0.6253187729514877] f(p)= 0.9043891156851178
p= [-0.6326068589065155] f(p)= 0.8986859954299995
p= [-0.6412593199932887] f(p)= 0.8915652579274289
p= [-0.6429214518450795] f(p)= 0.8901526501259572
p= [-0.6517337577806048] f(p)= 0.882415227455853
p= [-0.6517353622155666] f(p)= 0.8824137801006511
p= [-0.6544038930828953] f(p)= 0.8799867016934345
p= [-0.6639371933190789] f(p)= 0.8709865493913266
p= [-0.673914300904609] f(p)= 0.8609972595719653
