00000:f(p)=35.000 p=[0.0, 0.0, 0.0] gp=[-9.98999999999981, -1.9899999999999807, -5.989999999999895] glen=11.81695
00010:f(p)=23.380 p=[0.91372133 0.18201256 0.54786694] gp=[-8.16255734 -1.62597489 -4.89426611] glen=9.65531
00020:f(p)=15.619 p=[1.66029818 0.33073007 0.99551412] gp=[-6.66940364 -1.32853986 -3.99897175] glen=7.88909
00030:f(p)=10.437 p=[2.27030582 0.4522431  1.36127446] gp=[-5.44938835 -1.0855138  -3.26745107] glen=6.44596
00040:f(p)=6.975 p=[2.76872648 0.5515281  1.66012729] gp=[-4.45254704 -0.8869438  -2.66974542] glen=5.26682
00050:f(p)=4.663 p=[3.17597245 0.63265117 1.90431181] gp=[-3.6380551  -0.72469766 -2.18137638] glen=4.30337
00060:f(p)=3.118 p=[3.50872205 0.69893462 2.10382834] gp=[-2.9725559  -0.59213075 -1.78234332] glen=3.51617
00070:f(p)=2.085 p=[3.78060271 0.75309303 2.26684787] gp=[-2.42879459 -0.48381394 -1.45630426] glen=2.87297
00080:f(p)=1.396 p=[4.00274899 0.79734439 2.40004669] gp=[-1.98450201 -0.39531121 -1.18990661] glen=2.34742
00090:f(p)=0.934 p=[4.18425869 0.83350098 2.50887983] gp=[-1.62148263 -0.32299804 -0.97224034] glen=1.91802
00100:f(p)=0.626 p=[4.33256532 0.86304354 2.59780443] gp=[-1.32486936 -0.26391292 -0.79439114] glen=1.56716
00110:f(p)=0.420 p=[4.45374264 0.88718197 2.6704623 ] gp=[-1.08251473 -0.21563607 -0.6490754 ] glen=1.28048
00120:f(p)=0.282 p=[4.55275333 0.90690482 2.72982907] gp=[-0.88449335 -0.17619037 -0.53034186] glen=1.04625
00130:f(p)=0.189 p=[4.63365227 0.92301982 2.77833604] gp=[-0.72269546 -0.14396036 -0.43332791] glen=0.85486
00140:f(p)=0.127 p=[4.69975259 0.93618695 2.81796977] gp=[-0.59049481 -0.11762609 -0.35406045] glen=0.69848
00150:f(p)=0.086 p=[4.75376137 0.94694546 2.85035342] gp=[-0.48247725 -0.09610908 -0.28929317] glen=0.57071
00160:f(p)=0.058 p=[4.79789048 0.95573594 2.87681321] gp=[-0.39421904 -0.07852812 -0.23637358] glen=0.46631
00170:f(p)=0.039 p=[4.83394717 0.96291841 2.89843279] gp=[-0.32210566 -0.06416319 -0.19313442] glen=0.38101
00180:f(p)=0.027 p=[4.86340811 0.968787   2.91609756] gp=[-0.26318378 -0.052426   -0.15780489] glen=0.31131
00190:f(p)=0.018 p=[4.88747985 0.97358207 2.93053096] gp=[-0.21504031 -0.04283586 -0.12893808] glen=0.25437
00200:f(p)=0.012 p=[4.90714821 0.97749999 2.9423241 ] gp=[-0.17570359 -0.03500001 -0.1053518 ] glen=0.20784
00210:f(p)=0.009 p=[4.92321869 0.98070122 2.95195995] gp=[-0.14356262 -0.02859756 -0.08608009] glen=0.16982
00220:f(p)=0.006 p=[4.93634944 0.98331686 2.95983315] gp=[-0.11730112 -0.02336629 -0.0703337 ] glen=0.13875
00230:f(p)=0.004 p=[4.94707822 0.98545402 2.96626612] gp=[-0.09584355 -0.01909196 -0.05746776] glen=0.11337
00240:f(p)=0.003 p=[4.95584442 0.98720024 2.97152233] gp=[-0.07831116 -0.01559952 -0.04695534] glen=0.09263
00250:f(p)=0.002 p=[4.96300704 0.98862703 2.97581703] gp=[-0.06398592 -0.01274594 -0.03836593] glen=0.07569
00260:f(p)=0.002 p=[4.96885942 0.98979282 2.97932612] gp=[-0.05228115 -0.01041436 -0.03134776] glen=0.06184
